stop_id,stop_name,stop_lat,stop_lon,trip_count,routes
0111NMO,Ngomongo,-1.200253,36.894713,1,107D
0111NOI,Kia Njogu,-1.183816,36.731283,1,114R
0111NTA,Muthaiga Mini Market,-1.250145,36.820791,1,116
0111.OJ,O.J.,-1.153207,36.920352,1,107D
0111OJC,Jowac,-1.193359,36.74875,1,114R
0111OLB,OiLibya/2nd Parklands Avenue,-1.26469,36.82432,6,106 107 114R 116 11A 11B
0111OLS,Total Rosslyn,-1.210559,36.789528,1,106
0111RAU,Quarry,-1.207044,36.882139,1,107D
0111RHK,6th Parklands Avenue/Regal House/Kobil,-1.25777,36.82691,5,106 107 114R 116 11B
0111RHR,Redhill Road/Polish Embassy,-1.23453,36.803464,5,106 107 114R 116 11B
0111RNE,Rwenu,-1.193967,36.74329,1,107
0111RNI,Container,-1.204575,36.775392,1,114R
0111ROT,Two Rivers,-1.214563,36.794822,1,114R
0111RPS,Ruiru Prisons,-1.151827,36.929292,1,107D
0111RRY,Fairy Flowers,-1.16489,36.691469,1,114R
0111RST,Ruaka Stage/Tuskys,-1.207146,36.785877,2,107 114R
0111SAR,Carwash,-1.200971,36.785177,1,106
0111SNH,Shell Banana,-1.175822,36.759492,1,106
0111SPS,Stima Plaza Stage,-1.2696,36.8204,5,106 107 114R 116 11A
0111SPU,St. Paul's University Limuru,-1.148257,36.666204,1,114R
0111TNN,Aga Khan Entrance,-1.261438,36.825732,1,114R
0111TOE,Two Rivers,-1.214559,36.794994,1,106
0111TRI,Little Servant,-1.186605,36.768223,1,106
0111TRV,Two Rivers,-1.21452,36.794608,1,11B
0111TUN,UNEP/Gigiri/KTTC,-1.238682,36.810545,6,106 107 108 114R 116 11B
0111TVI,Kwa Viti,-1.186836,36.735044,1,114R
0111.UK,K.U.,-1.174814,36.914304,1,107D
0111UKG,Kwa Njogu,-1.192592,36.746556,1,114R
0111USA,Kwa Sukuma,-1.178995,36.723889,1,114R
0111VMA,Village Market,-1.22876,36.80443,5,106 107 114R 116 11B
0111VWS,Two Rivers,-1.208491,36.798073,1,107D
0111WNA,Kwa Kiwanja,-1.170839,36.917032,1,107D
0111WRB,Kwa Bendera,-1.169084,36.698467,1,114R
0111YSB,Bypass,-1.204769,36.785477,1,106
0112LKT,Koja,-1.28127,36.822572,2,116
0112POL,Junction/Poland Embassy,-1.234835,36.803782,2,108
0113BAA,Banana Terminus,-1.17383,36.758605,1,106
0113GCH,Gasolina/Gichagi Mwisho,-1.219641,36.766688,1,108
0113KAR,Karura Mwisho,-1.19435,36.73204,1,107
0113LMD,Limuru Terminus,-1.108043,36.643534,3,114R 116
0113RST,Ruaka Stage,-1.20717,36.78571,1,11B
02002IE,Riverside 2,-1.249605,36.877965,1,25
0200AAK,Kwa Wachina,-1.222994,36.907097,1,17B
0200ACM,Mwisho wa Chuma,-1.163517,36.953181,1,145D
0200AKN,Guru Nanak,-1.270182,36.832695,1,6
0200AKO,Mpaka road,-1.264947,36.804665,1,23W
0200APZ,Stima Plaza,-1.269632,36.820722,1,29/30
0200AVS,Naivas,-1.247292,36.872478,1,0027
0200BBC,Baba Dogo Catho,-1.244169,36.885073,1,25A
0200BDJ,Baba Dogo Junction/Dawa,-1.247259,36.874387,5,25 42 0027 25A 2030
0200BER,Redeemed Ndumberi,-1.152985,36.808673,2,120 121
0200BLN,Balkan Sec School,-1.21242,36.83392,4,100 120 121 100A
